,launch_speed,launch_angle,Home Run or Out
14055,109.7,-4,Hit - Not Home Run
14479,91.7,-22,Out
1504,91.4,-6,Out
254,93.1,-23,Out
11672,92.1,5,Out
13444,95.2,-7,Out
933,93.5,17,Hit - Not Home Run
9495,94.1,9,Out
949,78.4,-9,Out
14116,91.0,15,Hit - Not Home Run
7674,88.0,19,Hit - Not Home Run
14787,92.6,-24,Out
11507,80.0,69,Out
14309,82.9,-21,Out
2430,70.0,-31,Out
5384,86.6,-25,Out
6179,86.4,3,Out
8723,91.7,51,Out
4468,89.8,-19,Out
7113,110.3,-4,Out
5654,102.2,-12,Hit - Not Home Run
6290,99.8,2,Out
5231,86.4,-42,Out
4500,105.2,21,Out
13167,102.1,27,Out
14460,92.2,0,Out
2827,90.3,43,Out
11123,78.0,20,Out
8546,98.3,28,Home Run
37,82.9,-21,Out
12599,104.6,30,Home Run
12423,97.3,3,Hit - Not Home Run
12079,82.6,-32,Out
10247,88.3,8,Out
15364,80.6,-26,Out
12499,104.7,15,Hit - Not Home Run
13908,95.0,16,Hit - Not Home Run
10458,72.1,-6,Hit - Not Home Run
4294,98.4,18,Out
6740,85.9,-3,Hit - Not Home Run
8508,95.8,-13,Out
11229,100.7,19,Hit - Not Home Run
7895,97.7,36,Out
1973,98.2,-16,Hit - Not Home Run
10710,52.1,-37,Out
811,104.2,23,Home Run
5927,92.0,13,Hit - Not Home Run
11984,100.6,17,Hit - Not Home Run
14248,82.9,-21,Out
7186,72.7,-12,Out
11524,81.9,-14,Out
4310,73.2,-26,Out
14578,98.6,28,Out
6906,67.2,-12,Out
4845,97.5,-10,Out
268,92.6,-1,Hit - Not Home Run
1377,70.8,5,Out
6521,76.4,17,Hit - Not Home Run
3736,74.2,26,Hit - Not Home Run
8531,91.3,-23,Out
8462,96.2,-34,Out
3789,89.3,17,Hit - Not Home Run
12100,96.3,44,Out
11485,106.7,20,Hit - Not Home Run
7702,90.0,52,Hit - Not Home Run
7092,87.0,-13,Hit - Not Home Run
12378,97.1,14,Hit - Not Home Run
15454,79.4,60,Out
13716,100.2,39,Out
3996,108.7,23,Home Run
15218,109.8,12,Hit - Not Home Run
14798,102.4,-3,Out
2412,66.1,35,Hit - Not Home Run
12579,72.0,-5,Out
14756,82.9,-21,Out
8204,81.7,-7,Out
11940,89.6,-33,Hit - Not Home Run
6117,103.6,24,Home Run
10989,69.4,20,Out
12202,81.2,35,Out
12274,103.4,8,Out
8802,101.2,21,Hit - Not Home Run
14454,85.8,-22,Out
14350,105.4,7,Out
5812,80.0,69,Out
9369,102.8,13,Out
14662,68.0,33,Hit - Not Home Run
5218,98.7,37,Out
5776,94.7,55,Out
9404,105.2,-4,Out
7591,82.9,-21,Out
10790,103.1,14,Hit - Not Home Run
7471,79.8,15,Hit - Not Home Run
11280,82.9,-21,Out
6197,70.2,25,Hit - Not Home Run
1267,92.8,21,Hit - Not Home Run
7287,102.2,9,Hit - Not Home Run
6982,87.4,-6,Out
2561,76.6,-5,Out
11737,75.3,-62,Out
10317,83.3,41,Out
5139,98.2,27,Out
9021,95.8,8,Out
618,82.7,17,Hit - Not Home Run
440,105.4,-5,Hit - Not Home Run
4870,90.7,4,Hit - Not Home Run
2695,106.2,20,Hit - Not Home Run
1891,81.2,28,Out
5130,87.1,-2,Out
11022,88.0,-11,Out
638,94.2,19,Hit - Not Home Run
3148,90.4,24,Out
5628,91.0,-9,Hit - Not Home Run
499,95.9,-5,Out
12801,91.2,23,Hit - Not Home Run
12871,90.0,16,Hit - Not Home Run
11274,103.0,0,Out
7275,85.8,-14,Out
11469,77.0,-48,Out
15642,108.8,-1,Hit - Not Home Run
10143,93.1,-7,Out
8711,103.6,24,Hit - Not Home Run
13638,56.6,-28,Out
2329,106.8,-3,Out
9782,104.9,15,Out
321,92.6,6,Out
6467,104.4,19,Hit - Not Home Run
10203,104.8,13,Hit - Not Home Run
10450,86.6,20,Hit - Not Home Run
10607,106.9,-6,Out
14935,103.3,38,Out
8981,83.8,26,Out
696,88.8,53,Out
6440,94.5,46,Out
4521,73.5,33,Hit - Not Home Run
3206,98.6,-1,Out
7948,95.4,37,Out
2178,96.0,3,Hit - Not Home Run
12943,66.1,-17,Out
3558,95.3,25,Out
14888,76.7,-15,Out
11578,101.3,2,Hit - Not Home Run
4989,82.9,-21,Out
7815,99.8,-6,Out
8572,103.9,-2,Out
2441,53.9,-62,Out
9493,88.1,50,Out
4002,80.4,57,Out
5255,95.4,50,Out
9001,71.8,55,Out
13164,95.3,12,Hit - Not Home Run
9051,61.0,56,Out
8995,62.1,-23,Out
10128,97.2,46,Out
8361,66.9,-8,Hit - Not Home Run
5188,66.8,12,Hit - Not Home Run
9154,95.4,-17,Out
1857,96.0,-12,Out
5073,65.5,29,Hit - Not Home Run
6262,95.4,35,Out
4722,66.8,-12,Out
12381,90.5,19,Hit - Not Home Run
15077,80.0,69,Out
5591,99.6,33,Home Run
14459,110.4,20,Hit - Not Home Run
11433,104.9,-3,Hit - Not Home Run
12171,90.4,33,Out
8295,93.8,16,Out
14782,99.8,15,Out
3165,82.7,-17,Out
14429,100.7,2,Out
9622,99.4,-2,Hit - Not Home Run
4233,95.3,47,Out
14153,96.7,37,Out
1903,80.4,-19,Out
7683,83.4,58,Hit - Not Home Run
12863,93.9,-2,Out
9786,85.5,8,Out
100,66.6,-19,Out
13117,99.0,19,Out
2801,101.1,22,Hit - Not Home Run
5928,61.4,-1,Out
6927,98.4,16,Hit - Not Home Run
7085,86.5,-1,Hit - Not Home Run
6199,89.0,-13,Out
13328,91.4,24,Out
10723,80.8,52,Out
7163,84.1,-5,Out
14548,82.9,-21,Out
2187,88.5,36,Out
15400,40.0,-36,Hit - Not Home Run
7061,80.9,-12,Out
14337,80.0,69,Out
13563,103.6,10,Hit - Not Home Run
8030,94.2,16,Hit - Not Home Run
11041,100.1,33,Home Run
5563,106.2,-12,Hit - Not Home Run
5765,99.2,2,Out
3923,96.3,-7,Hit - Not Home Run
11840,98.4,-11,Out
10122,89.1,-27,Out
5474,100.7,-10,Out
8831,93.2,11,Hit - Not Home Run
14909,106.1,19,Hit - Not Home Run
3469,99.0,17,Out
2895,96.7,-17,Out
6012,70.9,23,Hit - Not Home Run
13178,94.4,24,Out
11575,94.2,13,Hit - Not Home Run
4659,70.4,44,Hit - Not Home Run
10627,106.6,5,Hit - Not Home Run
6390,89.4,47,Out
11936,92.2,23,Out
4749,85.0,19,Hit - Not Home Run
12741,102.9,31,Out
4937,77.6,-45,Out
10261,107.8,15,Out
14834,59.8,14,Out
146,80.4,-56,Out
4430,98.0,9,Out
12156,41.0,-39,Out
6017,103.1,22,Hit - Not Home Run
7476,99.7,27,Home Run
6401,95.4,-21,Out
11024,77.4,-31,Out
14944,88.3,36,Out
778,80.0,69,Out
11130,95.5,24,Out
7004,57.8,44,Hit - Not Home Run
5277,107.1,17,Hit - Not Home Run
8270,99.5,-17,Out
10662,101.7,-23,Out
5080,89.5,35,Out
6873,85.6,18,Hit - Not Home Run
9515,97.6,-11,Out
15118,79.7,-30,Out
242,104.3,7,Out
3025,70.3,-50,Hit - Not Home Run
3664,73.5,44,Out
9811,97.0,40,Out
14723,94.8,27,Out
4548,91.8,34,Out
15622,96.2,10,Hit - Not Home Run
7295,92.6,-28,Out
7015,97.0,15,Hit - Not Home Run
782,99.5,0,Out
2025,96.8,20,Hit - Not Home Run
9846,59.1,22,Hit - Not Home Run
6848,80.0,69,Out
11731,81.8,-38,Out
3610,105.7,11,Hit - Not Home Run
2912,106.5,27,Home Run
3499,80.3,63,Out
10168,93.1,-4,Out
4534,85.0,38,Out
11886,86.8,3,Hit - Not Home Run
1472,97.4,8,Hit - Not Home Run
12102,97.4,-11,Out
12510,89.9,1,Out
7114,101.7,13,Out
5857,98.2,-9,Hit - Not Home Run
10546,70.5,32,Hit - Not Home Run
11909,92.4,47,Out
6618,88.5,-11,Hit - Not Home Run
14231,91.3,2,Hit - Not Home Run
7922,96.9,23,Hit - Not Home Run
1685,89.4,19,Hit - Not Home Run
3653,106.9,15,Out
4838,100.2,31,Out
3112,88.2,11,Hit - Not Home Run
4687,56.5,-62,Out
12676,94.0,35,Out
8936,97.7,19,Out
261,80.0,69,Out
5511,87.8,31,Out
1682,98.4,-4,Hit - Not Home Run
4556,88.5,19,Hit - Not Home Run
6173,86.2,27,Out
754,91.1,16,Hit - Not Home Run
5341,108.7,8,Hit - Not Home Run
13066,93.7,9,Hit - Not Home Run
6078,83.4,-26,Out
4343,97.3,33,Out
8120,61.9,-24,Out
4502,92.7,47,Out
5196,91.7,50,Out
12502,92.7,24,Out
15294,87.6,19,Out
15113,76.5,61,Out
2571,83.8,26,Out
10249,60.9,-65,Out
14645,68.8,0,Hit - Not Home Run
14030,92.6,-1,Hit - Not Home Run
4799,85.9,18,Hit - Not Home Run
13994,98.0,27,Hit - Not Home Run
12366,81.3,-7,Out
9981,98.4,26,Hit - Not Home Run
10300,90.1,9,Hit - Not Home Run
8207,97.0,23,Hit - Not Home Run
9138,76.3,9,Out
7855,97.6,7,Out
8585,105.9,0,Hit - Not Home Run
9317,90.8,-1,Out
2774,99.6,2,Hit - Not Home Run
14802,90.8,-14,Out
15268,71.7,-12,Out
11306,77.9,9,Out
1374,99.8,15,Hit - Not Home Run
10886,101.9,17,Out
8857,80.0,69,Out
6024,102.9,13,Out
3310,80.1,44,Out
250,94.9,46,Out
8188,96.7,2,Out
1334,82.9,-21,Out
13219,91.9,41,Out
13963,110.2,19,Hit - Not Home Run
3062,96.7,-17,Out
10020,107.0,30,Home Run
12478,96.6,14,Hit - Not Home Run
5875,97.4,23,Out
10560,85.9,-2,Hit - Not Home Run
5179,80.0,69,Out
8205,91.5,9,Hit - Not Home Run
4049,82.9,-13,Hit - Not Home Run
2247,104.7,28,Home Run
5604,91.4,-8,Out
902,86.9,-6,Out
3559,104.6,-3,Hit - Not Home Run
8911,95.9,22,Out
11925,77.7,9,Hit - Not Home Run
13939,75.8,9,Out
1015,106.1,-4,Hit - Not Home Run
5792,94.8,13,Hit - Not Home Run
11916,77.9,12,Out
12679,90.6,-4,Hit - Not Home Run
1683,101.6,9,Hit - Not Home Run
12005,86.2,34,Out
8349,69.2,-36,Out
2616,103.4,-3,Out
7329,76.6,3,Out
8199,100.9,22,Out
13290,81.5,36,Out
9712,93.6,46,Out
6679,74.1,-14,Out
3614,80.0,69,Out
8790,43.8,61,Out
3586,105.0,-12,Hit - Not Home Run
8467,79.0,-30,Out
15533,82.2,21,Out
10378,64.4,-34,Out
14978,104.5,10,Hit - Not Home Run
11468,82.7,24,Out
1251,83.9,-21,Out
6839,89.4,11,Hit - Not Home Run
15644,100.6,2,Hit - Not Home Run
14305,87.9,60,Out
10566,83.4,-7,Out
4596,92.3,-7,Out
3849,93.5,59,Out
13232,95.6,48,Out
14122,99.3,8,Hit - Not Home Run
1883,98.1,13,Hit - Not Home Run
7400,106.1,16,Out
7347,76.5,-2,Out
2056,101.0,19,Out
3330,93.9,25,Hit - Not Home Run
4055,88.9,27,Hit - Not Home Run
9630,90.5,-6,Hit - Not Home Run
1699,104.4,-1,Out
8005,76.2,-9,Out
10730,105.7,1,Hit - Not Home Run
1089,101.3,10,Hit - Not Home Run
1997,105.3,11,Hit - Not Home Run
11213,83.0,59,Out
3110,91.6,1,Out
4652,88.5,-6,Hit - Not Home Run
3472,87.5,32,Out
8318,106.4,10,Hit - Not Home Run
1995,93.4,6,Hit - Not Home Run
7609,84.2,9,Hit - Not Home Run
1123,111.2,1,Hit - Not Home Run
6830,101.5,12,Hit - Not Home Run
8481,47.8,-39,Out
4263,101.1,19,Hit - Not Home Run
123,99.5,24,Out
11746,88.9,38,Out
4436,91.3,-7,Hit - Not Home Run
6568,98.5,28,Out
6945,92.8,15,Hit - Not Home Run
6963,82.9,-21,Out
11491,84.1,47,Out
2312,96.5,-2,Out
2016,80.1,-27,Out
7775,96.2,37,Out
2620,89.8,45,Out
12849,88.0,-1,Hit - Not Home Run
1511,80.0,-21,Out
11622,107.7,15,Hit - Not Home Run
1109,86.7,-10,Out
3273,75.7,-2,Out
15203,94.2,15,Hit - Not Home Run
3304,67.9,-3,Hit - Not Home Run
9274,105.4,34,Home Run
385,80.0,69,Out
5452,51.8,-4,Out
9863,104.2,13,Hit - Not Home Run
13869,88.7,47,Out
11118,94.8,-12,Out
10635,34.7,-15,Hit - Not Home Run
12820,101.0,20,Hit - Not Home Run
1808,102.7,-8,Out
6952,82.9,-21,Out
6776,82.9,-21,Out
12941,66.2,-15,Out
1756,91.2,20,Out
10279,84.2,31,Out
11706,77.4,30,Out
4306,54.1,5,Out
7260,93.5,-3,Out
7842,90.1,14,Hit - Not Home Run
9601,105.0,26,Home Run
2429,105.2,-18,Out
11843,106.1,17,Hit - Not Home Run
9482,89.9,4,Hit - Not Home Run
6981,80.7,22,Out
6944,82.3,32,Out
535,76.2,53,Out
5372,108.5,5,Hit - Not Home Run
10145,100.6,4,Hit - Not Home Run
14161,81.2,45,Out
8272,89.5,60,Out
2426,85.5,53,Out
13358,86.5,52,Out
15646,101.9,16,Out
4119,80.0,69,Out
4565,82.9,-21,Out
6057,80.0,69,Out
5045,95.5,1,Out
2672,80.6,-16,Hit - Not Home Run
967,61.0,-36,Out
4998,56.6,54,Out
2847,82.5,39,Out
11974,104.7,32,Out
3998,86.9,-26,Out
4191,88.5,-17,Out
11709,101.1,5,Hit - Not Home Run
5229,110.0,10,Hit - Not Home Run
1556,107.4,32,Home Run
7276,89.2,39,Out
7465,107.1,21,Home Run
9899,82.0,34,Out
13745,101.1,19,Hit - Not Home Run
1378,85.3,-24,Out
1811,100.8,0,Out
13281,88.6,18,Hit - Not Home Run
14980,102.3,11,Hit - Not Home Run
10808,78.8,26,Out
4448,100.4,22,Out
11919,95.7,4,Hit - Not Home Run
14404,87.7,7,Out
6202,83.6,55,Out
15544,52.0,-61,Out
4159,96.7,42,Out
10096,74.9,23,Hit - Not Home Run
9132,104.0,17,Hit - Not Home Run
13062,90.9,47,Out
12262,84.3,21,Out
8864,92.7,47,Out
1578,72.6,-40,Hit - Not Home Run
3590,97.1,-4,Hit - Not Home Run
4411,96.5,-11,Out
12067,79.6,-28,Out
7889,100.6,43,Out
9278,97.9,16,Hit - Not Home Run
9207,82.9,-21,Out
3830,71.2,60,Out
2570,52.4,20,Out
2176,99.5,9,Hit - Not Home Run
3103,90.4,45,Out
1572,99.0,-8,Hit - Not Home Run
15058,105.5,29,Home Run
14778,82.9,-21,Out
10540,101.6,-3,Out
3465,96.5,-2,Hit - Not Home Run
13622,95.8,4,Out
1355,97.0,14,Hit - Not Home Run
5945,72.9,48,Hit - Not Home Run
12695,90.3,-17,Hit - Not Home Run
7202,91.8,-9,Out
4818,65.2,-18,Out
10683,101.4,21,Home Run
2590,94.9,-4,Out
10253,95.8,43,Out
3863,103.5,11,Hit - Not Home Run
2512,94.1,-18,Out
14475,90.2,29,Hit - Not Home Run
2104,101.8,-6,Out
3902,78.8,-21,Out
2603,96.1,-11,Out
8473,97.2,-4,Out
105,100.3,11,Hit - Not Home Run
15442,82.9,-21,Out
3776,78.4,19,Hit - Not Home Run
5313,59.5,-64,Out
3303,87.5,-21,Hit - Not Home Run
5377,105.7,7,Hit - Not Home Run
4922,99.1,44,Out
10705,82.9,-21,Out
6907,81.0,27,Out
15277,92.1,52,Out
12201,93.5,33,Out
2826,100.0,17,Out
2836,100.0,33,Home Run
9323,40.8,-32,Out
10649,83.5,31,Out
14217,84.5,21,Hit - Not Home Run
4634,103.6,43,Home Run
9042,94.6,26,Out
9856,82.7,-9,Hit - Not Home Run
5172,101.9,11,Hit - Not Home Run
9326,94.1,2,Hit - Not Home Run
10623,66.7,-14,Out
389,99.0,2,Hit - Not Home Run
11008,98.8,25,Hit - Not Home Run
3270,84.8,-10,Out
2108,98.4,9,Hit - Not Home Run
220,82.9,-21,Out
5468,86.4,-15,Out
4575,91.9,3,Out
3662,89.2,31,Out
2082,96.4,34,Out
9499,80.0,69,Out
560,80.0,69,Out
14039,75.6,8,Out
2410,97.2,27,Out
14140,97.3,-11,Out
8688,95.7,25,Hit - Not Home Run
3130,98.0,-1,Out
7325,80.7,-31,Out
10547,102.4,18,Out
5998,84.5,37,Out
972,95.0,16,Hit - Not Home Run
13625,101.2,6,Out
5719,99.9,10,Hit - Not Home Run
5259,84.6,-33,Out
128,88.5,-15,Out
12326,84.7,37,Out
6854,84.8,37,Out
11546,82.9,-21,Out
441,80.0,69,Out
4672,97.1,44,Out
2485,104.1,-19,Out
7034,74.8,4,Out
5013,93.7,-21,Out
799,103.4,-6,Out
7393,101.4,3,Out
2837,86.3,59,Out
12295,64.9,-11,Out
8202,72.4,17,Hit - Not Home Run
6435,75.9,38,Out
9763,109.8,6,Hit - Not Home Run
2150,73.3,-34,Out
12759,95.8,16,Hit - Not Home Run
9520,95.0,4,Out
2821,89.3,31,Out
7265,66.9,-58,Hit - Not Home Run
14102,100.0,10,Out
12393,80.0,69,Out
2955,88.8,16,Hit - Not Home Run
9272,80.9,-19,Out
2652,91.7,-13,Hit - Not Home Run
2547,94.9,-2,Hit - Not Home Run
11039,95.4,29,Out
6681,100.7,-2,Out
13899,90.9,56,Out
3899,91.6,11,Hit - Not Home Run
5276,99.3,7,Out
9162,106.5,-5,Hit - Not Home Run
7890,85.5,68,Out
8122,99.7,36,Out
6392,103.3,14,Hit - Not Home Run
6177,95.4,3,Hit - Not Home Run
3869,96.7,-13,Out
12974,83.2,42,Out
8219,60.5,4,Out
7688,93.9,1,Hit - Not Home Run
2722,104.4,39,Home Run
2928,96.4,21,Hit - Not Home Run
5325,92.1,18,Out
231,95.5,-18,Out
534,104.0,2,Out
12975,95.2,11,Hit - Not Home Run
10258,88.9,47,Out
2261,68.2,2,Hit - Not Home Run
15502,93.0,-29,Out
6437,73.4,30,Out
1201,103.4,-21,Out
334,91.5,18,Hit - Not Home Run
7509,96.2,46,Out
12591,82.9,-21,Out
1063,63.4,-67,Hit - Not Home Run
3959,96.7,26,Hit - Not Home Run
7294,61.2,4,Out
13561,100.0,10,Hit - Not Home Run
7435,94.8,18,Out
3089,97.0,21,Out
11353,104.7,4,Hit - Not Home Run
44,84.4,10,Out
10156,105.0,13,Hit - Not Home Run
596,89.6,8,Out
6020,73.1,21,Hit - Not Home Run
12637,98.2,-12,Out
10355,70.8,28,Hit - Not Home Run
950,99.6,-2,Hit - Not Home Run
10282,93.3,19,Hit - Not Home Run
8346,99.4,30,Out
14666,102.8,-5,Out
11253,80.0,69,Out
13773,91.8,28,Out
2896,95.5,-14,Out
4871,85.1,-19,Out
14155,95.9,43,Out
8803,88.9,22,Hit - Not Home Run
9818,98.7,52,Out
12230,82.3,55,Out
11184,93.8,38,Out
1571,81.2,41,Out
4855,78.4,-7,Out
10538,83.1,-14,Out
4,47.2,-45,Out
15297,68.9,-12,Out
12890,103.4,5,Hit - Not Home Run
6616,91.2,-20,Out
10467,66.6,14,Out
11182,89.2,48,Out
12742,100.2,-6,Out
3410,96.5,-9,Hit - Not Home Run
2691,91.5,32,Out
2029,72.9,-10,Out
12817,71.4,-17,Out
11679,97.2,-19,Out
13100,93.3,30,Out
13103,90.0,29,Out
5722,95.9,-3,Out
2288,96.6,-11,Out
12784,95.7,23,Out
6338,104.0,16,Hit - Not Home Run
10596,79.7,-17,Out
3000,101.7,32,Home Run
6767,99.4,26,Out
15023,101.1,0,Out
15,102.6,22,Hit - Not Home Run
2778,94.0,6,Hit - Not Home Run
12398,80.0,69,Out
14504,102.1,5,Out
11056,87.8,-5,Hit - Not Home Run
4694,93.2,19,Hit - Not Home Run
8244,91.3,-8,Out
11095,73.7,-16,Out
3395,87.4,59,Out
1679,99.2,3,Hit - Not Home Run
7373,84.1,39,Out
5164,86.8,56,Out
2375,101.6,-12,Hit - Not Home Run
4409,106.7,-4,Out
5170,102.1,21,Out
15513,78.5,31,Hit - Not Home Run
12347,98.0,32,Out
13429,96.1,30,Home Run
15033,103.9,21,Home Run
10987,80.0,69,Out
3445,100.7,4,Hit - Not Home Run
422,106.7,22,Hit - Not Home Run
15022,94.0,-16,Out
2055,105.7,4,Hit - Not Home Run
1525,100.5,16,Out
568,70.3,0,Out
14893,81.1,13,Out
15484,102.3,18,Out
8198,96.2,40,Out
10852,97.2,-4,Hit - Not Home Run
8784,95.9,20,Out
8997,94.5,57,Out
9830,104.1,29,Out
8334,107.2,31,Home Run
4497,94.1,0,Out
1077,103.8,40,Out
8126,89.6,10,Hit - Not Home Run
211,101.2,25,Hit - Not Home Run
2518,88.9,25,Out
15026,100.8,-20,Out
4365,85.9,47,Out
6187,70.3,-14,Out
13554,82.9,-21,Out
10585,85.4,25,Out
1419,86.5,12,Hit - Not Home Run
14999,101.9,-9,Out
4455,95.9,-22,Hit - Not Home Run
5371,101.9,41,Out
7999,106.2,8,Out
14874,80.0,69,Out
2401,89.9,24,Out
8004,84.1,-11,Hit - Not Home Run
5194,113.9,18,Home Run
15243,94.5,47,Out
12253,103.0,3,Out
13075,93.7,-23,Hit - Not Home Run
4863,99.5,-1,Hit - Not Home Run
13390,97.2,43,Out
4688,69.8,-9,Out
8064,76.2,-8,Out
11562,101.3,-12,Out
13969,80.0,69,Out
8274,90.1,9,Hit - Not Home Run
13385,101.4,4,Out
10991,103.8,33,Home Run
13042,91.9,20,Out
11767,81.9,-19,Hit - Not Home Run
12235,97.0,-9,Out
12802,92.2,11,Out
13762,93.5,-11,Out
13776,94.9,7,Out
10216,86.3,6,Hit - Not Home Run
10071,103.7,16,Out
14596,76.4,36,Out
14101,80.0,69,Out
5063,51.5,-41,Hit - Not Home Run
12730,75.6,-13,Out
1688,103.6,20,Hit - Not Home Run
10314,108.6,21,Hit - Not Home Run
4092,104.2,19,Out
5784,71.8,-41,Out
7036,64.4,-36,Out
10824,102.8,-21,Out
951,104.3,35,Home Run
8696,92.3,10,Hit - Not Home Run
12237,99.0,-7,Out
2635,95.5,30,Out
11219,90.3,34,Out
15456,102.1,21,Out
14833,62.2,11,Out
3629,91.8,28,Home Run
828,101.8,18,Out
1388,91.0,-11,Hit - Not Home Run
6806,63.3,64,Out
11937,73.3,2,Out
11958,94.0,-11,Out
11147,83.7,-33,Out
1127,106.7,15,Out
13122,96.3,29,Hit - Not Home Run
13467,96.3,38,Out
553,84.7,-12,Hit - Not Home Run
11742,73.6,5,Hit - Not Home Run
11647,95.1,18,Out
9996,80.0,69,Out
8566,99.5,40,Out
3217,80.0,3,Out
7384,84.9,7,Hit - Not Home Run
2154,94.7,-14,Out
2395,43.3,-1,Out
8697,97.3,1,Out
12427,95.1,-24,Out
14452,93.5,9,Out
187,99.8,20,Hit - Not Home Run
15165,96.6,-7,Out
6843,40.0,-36,Hit - Not Home Run
1376,94.8,0,Out
5910,75.2,35,Hit - Not Home Run
13354,88.8,31,Out
7121,84.6,13,Hit - Not Home Run
1914,56.1,52,Out
5359,75.2,8,Out
8246,99.0,12,Hit - Not Home Run
9680,71.4,-35,Out
4300,59.6,53,Out
10570,103.2,29,Home Run
12426,91.8,0,Hit - Not Home Run
1697,80.8,40,Out
4020,101.3,8,Hit - Not Home Run
4574,101.6,13,Hit - Not Home Run
6827,87.4,33,Out
151,99.0,-1,Out
3296,80.0,69,Out
8763,75.8,19,Hit - Not Home Run
14940,96.5,-21,Out
13754,96.3,29,Home Run
14010,80.8,84,Out
14206,95.8,21,Out
1729,89.3,38,Out
14041,104.8,31,Home Run
11604,97.6,29,Home Run
232,82.9,-21,Out
7072,97.7,34,Out
7758,88.9,50,Out
8796,97.4,12,Hit - Not Home Run
13534,92.3,-17,Out
8143,101.2,7,Out
4303,82.9,-21,Out
1610,100.6,21,Hit - Not Home Run
907,64.1,23,Hit - Not Home Run
9009,89.2,39,Out
13355,88.0,46,Out
2165,76.1,23,Out
9808,82.9,-21,Out
10614,95.2,-13,Out
9509,88.7,-4,Out
3329,95.9,38,Out
9059,69.6,21,Hit - Not Home Run
3282,90.3,-17,Hit - Not Home Run
2265,88.0,27,Out
13794,80.3,53,Out
6319,103.1,18,Out
2989,101.9,-10,Hit - Not Home Run
14899,80.0,-27,Out
3663,95.9,16,Out
3764,104.4,1,Hit - Not Home Run
2648,84.4,50,Out
11205,80.0,69,Out
6322,100.8,37,Out
14071,89.4,-28,Out
13756,90.5,52,Out
7171,96.6,4,Hit - Not Home Run
11239,95.8,11,Hit - Not Home Run
2730,101.8,44,Out
3720,85.5,-11,Hit - Not Home Run
1477,99.6,7,Out
15006,82.9,-21,Out
3090,97.6,-8,Hit - Not Home Run
7187,82.9,-21,Out
11580,89.1,33,Out
3484,72.9,41,Out
6743,76.0,75,Out
12088,81.4,50,Out
4599,91.4,38,Out
4329,99.8,-14,Hit - Not Home Run
883,68.6,17,Out
7064,102.8,13,Out
7520,72.9,-43,Out
13494,87.9,19,Out
1425,96.3,-4,Hit - Not Home Run
13336,101.5,0,Hit - Not Home Run
6946,83.9,64,Out
7423,90.5,-7,Hit - Not Home Run
2804,94.6,27,Out
9117,107.2,8,Hit - Not Home Run
13700,95.9,71,Out
1340,65.5,-58,Out
3306,80.9,34,Out
9977,108.5,0,Out
779,97.5,37,Out
1855,71.9,4,Out
6823,76.3,-33,Out
3526,93.8,24,Out
4938,91.2,28,Out
12163,98.1,31,Out
4842,94.3,3,Out
11844,88.1,38,Out
7670,55.8,38,Out
7250,96.0,24,Hit - Not Home Run
3498,98.6,-24,Out
10393,96.8,15,Hit - Not Home Run
1047,62.2,9,Out
10418,84.7,52,Out
14613,72.4,15,Hit - Not Home Run
2175,102.6,4,Hit - Not Home Run
14974,88.8,-34,Out
2996,93.0,-11,Out
18,99.0,-14,Out
2067,71.1,0,Out
10813,95.6,0,Hit - Not Home Run
9279,86.0,9,Hit - Not Home Run
4953,104.0,17,Hit - Not Home Run
14443,84.6,24,Out
11981,90.6,13,Hit - Not Home Run
13242,80.0,-14,Out
11412,103.7,22,Home Run
11950,91.0,31,Out
3474,98.5,-18,Out
1521,100.4,-3,Hit - Not Home Run
6071,103.7,13,Hit - Not Home Run
7466,102.2,3,Hit - Not Home Run
12992,97.9,-31,Hit - Not Home Run
9902,95.8,36,Out
304,98.8,8,Hit - Not Home Run
8671,88.4,6,Out
12227,93.6,37,Out
1356,98.3,15,Hit - Not Home Run
6027,92.6,23,Out
12603,76.4,28,Hit - Not Home Run
6597,76.8,21,Hit - Not Home Run
3609,99.9,19,Out
12798,95.6,3,Hit - Not Home Run
12855,80.0,69,Out
13490,90.3,-17,Hit - Not Home Run
13319,93.0,8,Out
10565,77.6,49,Out
6538,95.4,-6,Hit - Not Home Run
11254,76.8,21,Hit - Not Home Run
3783,95.6,-24,Out
7363,74.9,9,Out
2948,92.5,19,Out
9897,104.7,17,Hit - Not Home Run
8073,102.2,11,Hit - Not Home Run
4931,89.4,15,Hit - Not Home Run
804,87.1,-1,Out
7602,94.7,25,Out
12033,90.6,-8,Hit - Not Home Run
830,107.8,6,Hit - Not Home Run
12543,91.6,49,Out
14489,81.8,-44,Hit - Not Home Run
9794,85.7,36,Out
7639,97.3,29,Out
8404,111.7,-7,Hit - Not Home Run
4762,94.6,23,Hit - Not Home Run
4627,81.8,-34,Out
1519,89.1,37,Out
4371,85.7,-1,Hit - Not Home Run
6345,99.2,-1,Out
15600,103.5,8,Hit - Not Home Run
1990,106.2,-5,Out
13517,87.8,50,Out
5309,94.9,-2,Out
10517,104.1,-3,Hit - Not Home Run
406,96.3,19,Hit - Not Home Run
10937,89.3,63,Out
13877,91.3,20,Hit - Not Home Run
9308,100.8,14,Hit - Not Home Run
5379,108.5,6,Hit - Not Home Run
1412,94.3,17,Hit - Not Home Run
2273,94.8,-26,Hit - Not Home Run
11115,94.0,10,Out
5959,89.8,61,Out
4700,96.8,-9,Out
