,launch_speed,launch_angle,Home Run or Out
1115,107.6,29,Home Run
1814,98.8,28,Out
15451,95.6,26,Hit - Not Home Run
6925,95.4,6,Hit - Not Home Run
13323,102.2,12,Out
2476,77.5,25,Hit - Not Home Run
3829,86.3,-27,Out
6879,95.0,18,Hit - Not Home Run
7208,80.0,69,Out
11626,95.6,17,Out
3267,78.4,13,Hit - Not Home Run
13873,41.0,-39,Out
15582,69.1,2,Out
7796,91.7,49,Out
5720,102.7,-12,Hit - Not Home Run
6569,72.7,52,Out
1804,101.6,16,Out
14652,104.1,21,Home Run
4990,72.8,51,Out
9374,80.0,69,Out
4704,100.0,13,Hit - Not Home Run
5800,90.4,15,Hit - Not Home Run
23,97.0,0,Out
8692,89.0,39,Out
333,94.3,48,Out
8744,70.2,-14,Out
14281,98.3,-7,Out
2985,100.0,20,Hit - Not Home Run
2376,50.5,-26,Out
3890,99.5,25,Hit - Not Home Run
1980,94.4,15,Hit - Not Home Run
9015,97.8,22,Out
5655,99.0,1,Hit - Not Home Run
5357,89.6,30,Out
8704,79.7,13,Hit - Not Home Run
1522,73.1,25,Hit - Not Home Run
7019,100.4,22,Home Run
6820,82.5,23,Out
3340,66.3,27,Hit - Not Home Run
676,68.0,-21,Out
8,78.1,14,Hit - Not Home Run
4814,90.2,32,Out
10214,97.2,-2,Out
45,101.9,15,Hit - Not Home Run
14510,101.8,21,Out
467,79.1,13,Hit - Not Home Run
1424,72.9,0,Out
1210,73.1,-7,Hit - Not Home Run
14845,50.7,-42,Out
9943,73.4,40,Out
8619,80.0,69,Out
2367,104.4,-15,Out
15468,108.4,22,Hit - Not Home Run
3372,77.5,8,Out
3011,83.4,-8,Out
13747,106.9,25,Home Run
10097,69.8,38,Hit - Not Home Run
579,83.0,5,Out
1871,107.0,23,Home Run
5109,102.9,19,Hit - Not Home Run
1983,79.9,-27,Out
12070,92.3,53,Out
14325,77.1,19,Hit - Not Home Run
4038,79.3,47,Out
11343,82.7,20,Hit - Not Home Run
1836,80.5,13,Hit - Not Home Run
1824,98.7,-11,Out
3166,103.2,8,Hit - Not Home Run
5192,106.8,11,Hit - Not Home Run
11871,87.0,21,Hit - Not Home Run
3774,104.3,7,Hit - Not Home Run
12436,70.8,-2,Out
14731,99.3,-9,Out
10252,104.2,26,Home Run
4721,94.6,13,Hit - Not Home Run
7301,90.1,-14,Out
15536,96.5,27,Out
11528,90.3,-25,Out
11416,103.4,11,Hit - Not Home Run
13691,90.3,-17,Hit - Not Home Run
8033,83.4,37,Out
10101,103.6,17,Hit - Not Home Run
2318,76.5,-52,Hit - Not Home Run
2321,103.0,-2,Out
9665,67.7,-22,Out
3913,84.6,-20,Out
6574,82.1,12,Hit - Not Home Run
13469,88.8,8,Hit - Not Home Run
6134,90.6,46,Out
2533,92.9,8,Out
424,99.4,12,Out
1223,85.6,-3,Out
757,107.0,-12,Hit - Not Home Run
10133,98.8,33,Out
15154,80.0,69,Out
1269,97.5,0,Hit - Not Home Run
9325,58.0,-43,Out
