"Borough","Year.Filed","Year.Settled","Claim.Type","Settlement.Amount"
"MANHATTAN (NEW YORK)","2012",2016,"Civil Rights Claims",52500
"QUEENS","2011",2016,"Peace Officer/Police Action (Pi)",6000
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",15000
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",15000
"BROOKLYN (KINGS)","2011",2016,"Peace Officer/Police Action (Pi)",2500
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",30000
"** Borough Missing **","2015",2016,"Civil Rights Claims",10000
"BROOKLYN (KINGS)","2011",2016,"Peace Officer/Police Action (Pi)",2500
"MANHATTAN (NEW YORK)","2015",2016,"Peace Officer/Police Action (Pi)",5000
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",10000
"BRONX","2012",2016,"Peace Officer/Police Action (Pi)",50000
"MANHATTAN (NEW YORK)","2014",2016,"Peace Officer/Police Action (Pi)",2000
"MANHATTAN (NEW YORK)","2015",2016,"Peace Officer/Police Action (Pi)",15000
"MANHATTAN (NEW YORK)","2014",2016,"Peace Officer/Police Action (Pi)",7500
"MANHATTAN (NEW YORK)","2014",2016,"Peace Officer/Police Action (Pi)",15000
"QUEENS","2015",2016,"Peace Officer/Police Action (Pi)",6000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",12500
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",20000
"MANHATTAN (NEW YORK)","2015",2016,"Civil Rights Claims",15000
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",13000
"QUEENS","2007",2016,"Peace Officer/Police Action (Pi)",45000
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",5500
"** Borough Missing **","2014",2016,"Civil Rights Claims",2125
"QUEENS","2014",2016,"Peace Officer/Police Action (Pi)",15000
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",2000
"BROOKLYN (KINGS)","2014",2016,"Automobile Accident (Pi)",7500
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",20000
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",15000
"NEW JERSEY","2016",2016,"Automobile Accident",1871.94
"BROOKLYN (KINGS)","2007",2016,"Civil Rights Claims",17500
"QUEENS","2015",2016,"Civil Rights Claims",12500
"** Borough Missing **","2010",2016,"Peace Officer/Police Action (Pi)",55000
"QUEENS","2013",2016,"Peace Officer/Police Action (Pi)",250000
"STATEN ISLAND (RICHMOND)","2014",2016,"Peace Officer (Police Act)",798.37
"QUEENS","2013",2016,"Peace Officer/Police Action (Pi)",125000
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",7500
"** Borough Missing **","2014",2016,"Peace Officer/Police Action (Pi)",82500
"MANHATTAN (NEW YORK)","2015",2016,"Peace Officer/Police Action (Pi)",7500
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",15000
"BRONX","2014",2016,"Civil Rights Claims",250000
"QUEENS","2012",2016,"Peace Officer/Police Action (Pi)",40000
