"Borough","Year.Filed","Year.Settled","Claim.Type","Settlement.Amount"
"BROOKLYN (KINGS)","2016",2018,"Motor Vehicle",2144.99
"MANHATTAN (NEW YORK)","2016",2018,"Motor Vehicle",1382
"BRONX","2016",2018,"Motor Vehicle",120
"BRONX","2017",2018,"Police Action",5000
"BRONX","2017",2018,"Police Action",13000
"BRONX","2016",2018,"Police Action",5000
"BRONX","2016",2018,"Police Action",15000
"BRONX","2016",2018,"Police Action",1500
"BRONX","2016",2018,"Police Action",40000
"BRONX","2016",2018,"Police Action",2500
"BROOKLYN (KINGS)","2016",2018,"Police Action",12000
"BRONX","2016",2018,"Police Action",12500
"BRONX","2017",2018,"Police Action",20000
"BRONX","2017",2018,"Police Action",30000
"BRONX","2012",2018,"Police Action",250000
"BRONX","2016",2018,"Police Action",35000
"BRONX","2015",2018,"Police Action",30000
"BRONX","2014",2018,"Police Action",70000
"BRONX","2016",2018,"Police Action",17500
"BRONX","2014",2018,"Police Action",7500
"BRONX","2016",2018,"Police Action",20000
"BRONX","2014",2018,"Police Action",75000
"BRONX","2015",2018,"Police Action",77500
"QUEENS","2016",2018,"Civil Rights",10000
"QUEENS","2016",2018,"Civil Rights",10000
"BROOKLYN (KINGS)","2014",2018,"Civil Rights",67500
"BROOKLYN (KINGS)","2013",2018,"Police Action",4500
"MANHATTAN (NEW YORK)","2013",2018,"Police Action",5000
"BROOKLYN (KINGS)","2016",2018,"Civil Rights",18000
"BROOKLYN (KINGS)","2012",2018,"Police Action",5000
"BROOKLYN (KINGS)","2016",2018,"Civil Rights",5e+05
"BRONX","2012",2018,"Civil Rights",3000
"BROOKLYN (KINGS)","2015",2018,"Civil Rights",27500
"BRONX","2015",2018,"Police Action",17500
"BRONX","2015",2018,"Police Action",20000
"BRONX","2015",2018,"Police Action",3000
"BRONX","2015",2018,"Police Action",10000
"BRONX","2015",2018,"Police Action",25000
"BRONX","2015",2018,"Police Action",7500
"BRONX","2014",2018,"Police Action",20000
"BRONX","2017",2018,"Police Action",10000
"BRONX","2016",2018,"Police Action",15000
"BRONX","2016",2018,"Police Action",250000
"BRONX","2016",2018,"Police Action",15000
"BRONX","2016",2018,"Police Action",35000
"BRONX","2016",2018,"Police Action",15000
"BRONX","2014",2018,"Police Action",95000
"BRONX","2016",2018,"Police Action",22500
"BRONX","2016",2018,"Police Action",1e+05
"BRONX","2016",2018,"Police Action",20000
"BRONX","2017",2018,"Police Action",60000
"BRONX","2016",2018,"Police Action",15000
"BRONX","2017",2018,"Police Action",9000
"BRONX","2017",2018,"Police Action",17500
"BROOKLYN (KINGS)","2016",2018,"Motor Vehicle",1957.28
"QUEENS","2016",2018,"Motor Vehicle",3863.8
"BRONX","2016",2018,"Motor Vehicle",1620.44
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",595.06
"BROOKLYN (KINGS)","2017",2018,"Motor Vehicle",835
"QUEENS","2017",2018,"Motor Vehicle",1349.52
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",1325.55
"BRONX","2016",2018,"Motor Vehicle",7866.54
"MANHATTAN (NEW YORK)","2012",2018,"Police Action",20000
"MANHATTAN (NEW YORK)","2012",2018,"Police Action",35000
"BROOKLYN (KINGS)","2010",2018,"Civil Rights",12500
"MANHATTAN (NEW YORK)","2016",2018,"Motor Vehicle",1788.64
"** Borough Missing **","2016",2018,"Motor Vehicle",510.84
"MANHATTAN (NEW YORK)","2008",2018,"Police Action",45000
"MANHATTAN (NEW YORK)","2014",2018,"Motor Vehicle",125000
"MANHATTAN (NEW YORK)","2011",2018,"Police Action",1e+05
"BROOKLYN (KINGS)","2016",2018,"Civil Rights",10000
"MANHATTAN (NEW YORK)","2014",2018,"Motor Vehicle",60000
"BROOKLYN (KINGS)","2017",2018,"Motor Vehicle",1524
"BRONX","2005",2018,"Police Action",75000
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",2773.26
"BROOKLYN (KINGS)","2017",2018,"Motor Vehicle",4166.01
"BRONX","2017",2018,"Motor Vehicle",1678.98
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",2740.38
"BROOKLYN (KINGS)","2011",2018,"Police Action",65000
"QUEENS","2014",2018,"Police Action",12500
"QUEENS","2017",2018,"Uniformed Services Employee",7500
"MANHATTAN (NEW YORK)","2014",2018,"Police Action",37500
"BRONX","2015",2018,"Police Action",15000
"BRONX","2016",2018,"Police Action",15000
"BRONX","2016",2018,"Police Action",15000
"BROOKLYN (KINGS)","2017",2018,"Police Action",10000
"QUEENS","2017",2018,"Police Action",12000
"QUEENS","2017",2018,"Police Action",12500
"BROOKLYN (KINGS)","2017",2018,"Police Action",12500
"BROOKLYN (KINGS)","2007",2018,"Motor Vehicle",1e+06
"BROOKLYN (KINGS)","2015",2018,"Police Action",2500
"BROOKLYN (KINGS)","2016",2018,"Civil Rights",3000
"BROOKLYN (KINGS)","2016",2018,"Civil Rights",3000
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",2741.24
"** Borough Missing **","2016",2018,"Civil Rights",3500
"** Borough Missing **","2016",2018,"Civil Rights",3500
"QUEENS","2018",2018,"Motor Vehicle",1250.21
"** Borough Missing **","2016",2018,"Motor Vehicle",2012.39
"BROOKLYN (KINGS)","2016",2018,"Motor Vehicle",2012.71
"BROOKLYN (KINGS)","2016",2018,"Motor Vehicle",4525.42
"QUEENS","2016",2018,"Police Action",40000
"BROOKLYN (KINGS)","2014",2018,"Motor Vehicle",175000
"BROOKLYN (KINGS)","2014",2018,"Motor Vehicle",875000
"MANHATTAN (NEW YORK)","2013",2018,"Police Action",7000
"BROOKLYN (KINGS)","2014",2018,"Police Action",9500
"BROOKLYN (KINGS)","2016",2018,"Civil Rights",1000
"MANHATTAN (NEW YORK)","2016",2018,"Civil Rights",1000
"BRONX","2017",2018,"Civil Rights",1500
"BROOKLYN (KINGS)","2016",2018,"Civil Rights",20000
"MANHATTAN (NEW YORK)","2016",2018,"Civil Rights",1000
"BROOKLYN (KINGS)","2017",2018,"Civil Rights",1000
"BROOKLYN (KINGS)","2013",2018,"Uniformed Services Employee",10000
"MANHATTAN (NEW YORK)","2013",2018,"Uniformed Services Employee",3500
"BROOKLYN (KINGS)","2013",2018,"Uniformed Services Employee",1500
"QUEENS","2012",2018,"Motor Vehicle",15000
"BRONX","2013",2018,"Police Action",20000
"** Borough Missing **","2016",2018,"Motor Vehicle",2860
"MANHATTAN (NEW YORK)","2016",2018,"Motor Vehicle",1044
"MANHATTAN (NEW YORK)","2016",2018,"Motor Vehicle",2070
"QUEENS","2016",2018,"Motor Vehicle",5145.01
"** Borough Missing **","2016",2018,"Motor Vehicle",1642.44
"QUEENS","2016",2018,"Motor Vehicle",1305.52
"BROOKLYN (KINGS)","2016",2018,"Motor Vehicle",2781.13
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",25000
"BROOKLYN (KINGS)","2017",2018,"Police Action",8000
"BROOKLYN (KINGS)","2015",2018,"Police Action",5000
"QUEENS","2014",2018,"Police Action",7500
"BROOKLYN (KINGS)","2015",2018,"Police Action",5000
"BRONX","2015",2018,"Police Action",15000
"BRONX","2015",2018,"Police Action",10000
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",5000
"QUEENS","2016",2018,"Motor Vehicle",3000
"QUEENS","2016",2018,"Motor Vehicle",3000
"BROOKLYN (KINGS)","2017",2018,"Motor Vehicle",15000
"QUEENS","2016",2018,"Motor Vehicle",50000
"QUEENS","2016",2018,"Motor Vehicle",2500
"BRONX","2017",2018,"Police Action",25000
"MANHATTAN (NEW YORK)","2015",2018,"Police Action",5000
"BROOKLYN (KINGS)","2016",2018,"Motor Vehicle",2746.91
"QUEENS","2016",2018,"Motor Vehicle",1845.7
"QUEENS","2016",2018,"Motor Vehicle",146
"BROOKLYN (KINGS)","2016",2018,"Motor Vehicle",2392.97
"QUEENS","2017",2018,"Motor Vehicle",2000
"BROOKLYN (KINGS)","2017",2018,"Motor Vehicle",1500
"BRONX","2015",2018,"Police Action",30000
"QUEENS","2012",2018,"Police Action",3000
"QUEENS","2012",2018,"Civil Rights",3000
"BRONX","2012",2018,"Police Action",20000
"BROOKLYN (KINGS)","2013",2018,"Motor Vehicle",25000
"QUEENS","2015",2018,"Motor Vehicle",10000
"MANHATTAN (NEW YORK)","2017",2018,"Civil Rights",25001
"MANHATTAN (NEW YORK)","2005",2018,"Police Action",12500
"QUEENS","2011",2018,"Police Action",50000
"BROOKLYN (KINGS)","2011",2018,"Police Action",80000
"MANHATTAN (NEW YORK)","2016",2018,"Motor Vehicle",418.52
"BRONX","2013",2018,"Police Action",250000
"BROOKLYN (KINGS)","2015",2018,"Motor Vehicle",4234.44
"** Borough Missing **","2015",2018,"Motor Vehicle",2134.39
"BROOKLYN (KINGS)","2017",2018,"Civil Rights",20000
"MANHATTAN (NEW YORK)","2015",2018,"Motor Vehicle",3500
"BROOKLYN (KINGS)","2011",2018,"Police Action",60000
"BROOKLYN (KINGS)","2011",2018,"Police Action",65000
"BROOKLYN (KINGS)","2011",2018,"Police Action",10000
"BROOKLYN (KINGS)","2011",2018,"Police Action",37500
"BROOKLYN (KINGS)","2011",2018,"Police Action",40000
"BROOKLYN (KINGS)","2011",2018,"Police Action",80000
"QUEENS","2011",2018,"Police Action",20000
"BROOKLYN (KINGS)","2011",2018,"Civil Rights",75000
"BRONX","2015",2018,"Motor Vehicle",20000
"BRONX","2015",2018,"Motor Vehicle",25000
"BROOKLYN (KINGS)","2012",2018,"Police Action",50000
"BROOKLYN (KINGS)","2016",2018,"Motor Vehicle",1648.23
"QUEENS","2016",2018,"Motor Vehicle",1111.23
"MANHATTAN (NEW YORK)","2016",2018,"Motor Vehicle",5000
"BROOKLYN (KINGS)","2017",2018,"Police Action",375
"MANHATTAN (NEW YORK)","2016",2018,"Motor Vehicle",2668.37
"MANHATTAN (NEW YORK)","2016",2018,"Motor Vehicle",900
"MANHATTAN (NEW YORK)","2015",2018,"Motor Vehicle",5000
"BRONX","2015",2018,"Police Action",26000
"BROOKLYN (KINGS)","2016",2018,"Police Action",20000
"BROOKLYN (KINGS)","2016",2018,"Police Action",6000
"BRONX","2014",2018,"Civil Rights",22500
"BRONX","2014",2018,"Civil Rights",15000
"BROOKLYN (KINGS)","2012",2018,"Police Action",50000
"QUEENS","2017",2018,"Motor Vehicle",2000
"QUEENS","2013",2018,"Police Action",90000
"BRONX","2009",2018,"Police Action",30000
"BRONX","2009",2018,"Police Action",30000
"MANHATTAN (NEW YORK)","2011",2018,"Police Action",90000
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",121
"BROOKLYN (KINGS)","2016",2018,"City Personnel",6461
"NASSAU","2016",2018,"Motor Vehicle",9003.16
"BROOKLYN (KINGS)","2017",2018,"Motor Vehicle",918.04
"BROOKLYN (KINGS)","2017",2018,"Motor Vehicle",1363.77
"BRONX","2014",2018,"Civil Rights",167500
"BRONX","2014",2018,"Civil Rights",17500
"BRONX","2017",2018,"Civil Rights",17500
"BROOKLYN (KINGS)","2017",2018,"Civil Rights",5000
"MANHATTAN (NEW YORK)","2010",2018,"Police Action",5e+05
"MANHATTAN (NEW YORK)","2013",2018,"Police Action",15000
"BRONX","2015",2018,"Police Action",20000
"MANHATTAN (NEW YORK)","2015",2018,"Police Action",17500
"BRONX","2010",2018,"Police Action",40000
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",1000
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",310
"MANHATTAN (NEW YORK)","2017",2018,"Police Action",1500
"BROOKLYN (KINGS)","2016",2018,"Motor Vehicle",2465.74
"QUEENS","2016",2018,"Police Action",425
"BROOKLYN (KINGS)","2017",2018,"Motor Vehicle",1857.16
"BROOKLYN (KINGS)","2017",2018,"Motor Vehicle",500
"QUEENS","2014",2018,"Motor Vehicle",150000
"QUEENS","2014",2018,"Motor Vehicle",50000
"QUEENS","2014",2018,"Motor Vehicle",1e+05
"BRONX","2012",2018,"Police Action",37500
"BRONX","2011",2018,"Police Action",90000
"BRONX","2012",2018,"Police Action",15000
"BROOKLYN (KINGS)","2014",2018,"Police Action",25000
"BROOKLYN (KINGS)","2016",2018,"Police Action",12500
"BROOKLYN (KINGS)","2017",2018,"Police Action",22500
"BROOKLYN (KINGS)","2017",2018,"Police Action",1500
"MANHATTAN (NEW YORK)","2015",2018,"Police Action",22000
"MANHATTAN (NEW YORK)","2013",2018,"Motor Vehicle",7500
"BRONX","2016",2018,"Police Action",1500
"MANHATTAN (NEW YORK)","2016",2018,"Motor Vehicle",80000
"BROOKLYN (KINGS)","2014",2018,"Civil Rights",60000
"MANHATTAN (NEW YORK)","2017",2018,"Police Action",5000
"STATEN ISLAND (RICHMOND)","2017",2018,"Motor Vehicle",652.16
"BRONX","2017",2018,"Police Action",4500
"MANHATTAN (NEW YORK)","2016",2018,"Civil Rights",1200
"BRONX","2016",2018,"Motor Vehicle",2550
"BROOKLYN (KINGS)","2016",2018,"Motor Vehicle",1297.55
"QUEENS","2016",2018,"Motor Vehicle",2500
"QUEENS","2016",2018,"Motor Vehicle",1991.63
"MANHATTAN (NEW YORK)","2014",2018,"Motor Vehicle",125000
"BRONX","2016",2018,"Police Action",30000
"BRONX","2016",2018,"Police Action",30000
"BROOKLYN (KINGS)","2005",2018,"Police Action",15000
"BROOKLYN (KINGS)","2005",2018,"Police Action",5000
"BRONX","2005",2018,"Police Action",20000
"BRONX","2005",2018,"Police Action",10000
"MANHATTAN (NEW YORK)","2012",2018,"Police Action",150000
"BRONX","2009",2018,"Police Action",50000
"BRONX","2016",2018,"Civil Rights",12000
"MANHATTAN (NEW YORK)","2016",2018,"Civil Rights",20000
"BROOKLYN (KINGS)","2011",2018,"Police Action",40000
"BROOKLYN (KINGS)","2010",2018,"Police Action",250000
"BROOKLYN (KINGS)","2013",2018,"Police Action",2e+05
"BRONX","2014",2018,"Police Action",25000
"BRONX","2014",2018,"Police Action",15000
"BRONX","2014",2018,"Police Action",15000
"BRONX","2014",2018,"Police Action",25000
"BROOKLYN (KINGS)","2012",2018,"Civil Rights",106000
"** Borough Missing **","2014",2018,"Police Action",35000
"BROOKLYN (KINGS)","2013",2018,"Police Action",60000
"BRONX","2016",2018,"Police Action",175000
"BRONX","2016",2018,"Police Action",55000
"BROOKLYN (KINGS)","2011",2018,"Police Action",10000
"BROOKLYN (KINGS)","2011",2018,"Police Action",10000
"BRONX","2015",2018,"Police Action",95000
"** Borough Missing **","2016",2018,"Motor Vehicle",3111.3
"QUEENS","2016",2018,"Motor Vehicle",1541.84
"MANHATTAN (NEW YORK)","2016",2018,"Motor Vehicle",2608.24
"BROOKLYN (KINGS)","2016",2018,"Motor Vehicle",4349.16
"BROOKLYN (KINGS)","2015",2018,"Police Action",50000
"BRONX","2016",2018,"Civil Rights",18000
"BRONX","2015",2018,"Civil Rights",43250
"BRONX","2015",2018,"Civil Rights",51200
"BRONX","2015",2018,"Civil Rights",5750
"BRONX","2015",2018,"Civil Rights",6300
"BRONX","2015",2018,"Civil Rights",5750
"BRONX","2015",2018,"Civil Rights",5750
"MANHATTAN (NEW YORK)","2017",2018,"Civil Rights",25000
"BRONX","2016",2018,"Civil Rights",34750
"MANHATTAN (NEW YORK)","2017",2018,"Civil Rights",15000
"BRONX","2016",2018,"Civil Rights",15000
"BRONX","2016",2018,"Civil Rights",30000
"BRONX","2017",2018,"Civil Rights",4000
"BRONX","2011",2018,"Police Action",5000
"BRONX","2011",2018,"Police Action",5000
"BRONX","2011",2018,"Police Action",5000
"BRONX","2013",2018,"Police Action",8000
"BRONX","2015",2018,"Police Action",30000
"BROOKLYN (KINGS)","2012",2018,"Police Action",60000
"** Borough Missing **","2011",2018,"Police Action",695000
"BROOKLYN (KINGS)","2011",2018,"Police Action",5000
"MANHATTAN (NEW YORK)","2015",2018,"Police Action",20000
"BROOKLYN (KINGS)","2007",2018,"Police Action",55000
"BROOKLYN (KINGS)","2006",2018,"Police Action",2e+05
"QUEENS","2012",2018,"Police Action",20000
"QUEENS","2013",2018,"Police Action",90000
"BROOKLYN (KINGS)","2007",2018,"Police Action",50000
"QUEENS","2014",2018,"Police Action",15000
"BROOKLYN (KINGS)","2014",2018,"Uniformed Services Employee",162500
"** Borough Missing **","2016",2018,"Civil Rights",25376212.51
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",5318.55
"BRONX","2017",2018,"Police Action",500
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",1623.12
"** Borough Missing **","2017",2018,"Motor Vehicle",500
"BRONX","2011",2018,"Police Action",50000
"BRONX","2013",2018,"Motor Vehicle",40000
"BRONX","2007",2018,"Police Action",2500000
"BRONX","2008",2018,"Civil Rights",2614700.71
"** Borough Missing **","2013",2018,"Police Action",30000
"BRONX","2013",2018,"Police Action",9000
"BRONX","2013",2018,"Police Action",12500
"BROOKLYN (KINGS)","2017",2018,"Police Action",2500
"QUEENS","2017",2018,"Police Action",12500
"BRONX","2017",2018,"Police Action",7500
"BROOKLYN (KINGS)","2016",2018,"Motor Vehicle",17500
"BROOKLYN (KINGS)","2016",2018,"Civil Rights",10000
"BRONX","2011",2018,"Police Action",10000
"STATEN ISLAND (RICHMOND)","2017",2018,"Motor Vehicle",170.26
"MANHATTAN (NEW YORK)","2017",2018,"Police Action",4750
"BRONX","2017",2018,"Motor Vehicle",3953.68
"QUEENS","2017",2018,"Motor Vehicle",1136.8
"BROOKLYN (KINGS)","2012",2018,"Uniformed Services Employee",6e+05
"QUEENS","2013",2018,"Police Action",90000
"** Borough Missing **","2018",2018,"Civil Rights",27500
"BROOKLYN (KINGS)","2017",2018,"Police Action",3000
"BRONX","2015",2018,"Civil Rights",6500
"BROOKLYN (KINGS)","2015",2018,"Civil Rights",2500
"BRONX","2009",2018,"Civil Rights",568886.31
"BROOKLYN (KINGS)","2010",2018,"Police Action",340000
"BROOKLYN (KINGS)","2015",2018,"Civil Rights",31500
"QUEENS","2014",2018,"Civil Rights",45500
"BRONX","2015",2018,"Police Action",22500
"QUEENS","2012",2018,"Police Action",40000
"MANHATTAN (NEW YORK)","2016",2018,"Civil Rights",28750
"BROOKLYN (KINGS)","2017",2018,"Civil Rights",12001
"BRONX","2016",2018,"Motor Vehicle",10000
"MANHATTAN (NEW YORK)","2016",2018,"Civil Rights",4000
"BROOKLYN (KINGS)","2015",2018,"Civil Rights",70277.36
"BROOKLYN (KINGS)","2014",2018,"Civil Rights",20000
"MANHATTAN (NEW YORK)","2014",2018,"Civil Rights",190000
"BROOKLYN (KINGS)","2013",2018,"Civil Rights",625001
"BRONX","2014",2018,"Motor Vehicle",50000
"BROOKLYN (KINGS)","2012",2018,"Uniformed Services Employee",950000
"BROOKLYN (KINGS)","2017",2018,"Police Action",22500
"QUEENS","2017",2018,"Police Action",25000
"QUEENS","2017",2018,"Police Action",25000
"BRONX","2011",2018,"Police Action",7500
"MANHATTAN (NEW YORK)","2012",2018,"Civil Rights",42000
"BROOKLYN (KINGS)","2017",2018,"Motor Vehicle",5000
"BRONX","2017",2018,"Motor Vehicle",152
"QUEENS","2017",2018,"Motor Vehicle",14467.49
"QUEENS","2016",2018,"Motor Vehicle",164.8
"BRONX","2017",2018,"Civil Rights",39500
"MANHATTAN (NEW YORK)","2017",2018,"Civil Rights",18501
"BRONX","2016",2018,"Police Action",6000
"BRONX","2016",2018,"Police Action",6000
"BRONX","2016",2018,"Police Action",8000
"QUEENS","2016",2018,"Civil Rights",33000
"QUEENS","2016",2018,"Civil Rights",18590.3
"MANHATTAN (NEW YORK)","2016",2018,"Police Action",40000
"BRONX","2016",2018,"Civil Rights",42201
"BRONX","2015",2018,"Police Action",50000
"MANHATTAN (NEW YORK)","2016",2018,"Civil Rights",15000
"MANHATTAN (NEW YORK)","2016",2018,"Civil Rights",12000
"BROOKLYN (KINGS)","2014",2018,"Police Action",5000
"QUEENS","2015",2018,"Motor Vehicle",12500
"BROOKLYN (KINGS)","2016",2018,"Motor Vehicle",15000
"BRONX","2013",2018,"Motor Vehicle",1800000
"BRONX","2013",2018,"Motor Vehicle",750000
"BROOKLYN (KINGS)","2015",2018,"Police Action",12500
"BROOKLYN (KINGS)","2015",2018,"Police Action",37500
"BROOKLYN (KINGS)","2015",2018,"Civil Rights",10281
"BROOKLYN (KINGS)","2015",2018,"Civil Rights",513
"BROOKLYN (KINGS)","2015",2018,"Civil Rights",10281
"BROOKLYN (KINGS)","2015",2018,"Civil Rights",7197
"BROOKLYN (KINGS)","2015",2018,"Civil Rights",41124
"BROOKLYN (KINGS)","2015",2018,"Civil Rights",7197
"** Borough Missing **","2010",2018,"Police Action",10000
"BROOKLYN (KINGS)","2015",2018,"Civil Rights",2571
"BROOKLYN (KINGS)","2015",2018,"Civil Rights",73976
"BROOKLYN (KINGS)","2015",2018,"Civil Rights",35000
"BROOKLYN (KINGS)","2016",2018,"Motor Vehicle",2045.84
"MANHATTAN (NEW YORK)","2016",2018,"Motor Vehicle",1781.99
"MANHATTAN (NEW YORK)","2017",2018,"Police Action",16000
"MANHATTAN (NEW YORK)","2017",2018,"Police Action",15000
"BROOKLYN (KINGS)","2017",2018,"Police Action",15000
"MANHATTAN (NEW YORK)","2017",2018,"Police Action",15000
"BROOKLYN (KINGS)","2017",2018,"Police Action",5000
"MANHATTAN (NEW YORK)","2017",2018,"Police Action",32500
"MANHATTAN (NEW YORK)","2016",2018,"Police Action",20000
"BROOKLYN (KINGS)","2014",2018,"Police Action",10500
"BROOKLYN (KINGS)","2016",2018,"Civil Rights",57500
"BRONX","2017",2018,"Police Action",10000
"BROOKLYN (KINGS)","2017",2018,"Police Action",7500
"BROOKLYN (KINGS)","2017",2018,"Police Action",13500
"BROOKLYN (KINGS)","2017",2018,"Police Action",5000
"BROOKLYN (KINGS)","2017",2018,"Civil Rights",25000
"BROOKLYN (KINGS)","2017",2018,"Police Action",11000
"BRONX","2017",2018,"Police Action",7500
"BROOKLYN (KINGS)","2017",2018,"Police Action",5000
"BROOKLYN (KINGS)","2008",2018,"Police Action",15000
"MANHATTAN (NEW YORK)","2011",2018,"Police Action",30000
"BRONX","2011",2018,"Police Action",75000
"MANHATTAN (NEW YORK)","2011",2018,"Police Action",25000
"BROOKLYN (KINGS)","2011",2018,"Police Action",7500
"BRONX","2012",2018,"Police Action",50000
"MANHATTAN (NEW YORK)","2014",2018,"Police Action",60000
"QUEENS","2014",2018,"Police Action",90000
"BROOKLYN (KINGS)","2014",2018,"Civil Rights",3000
"BROOKLYN (KINGS)","2017",2018,"Motor Vehicle",950
"QUEENS","2017",2018,"Motor Vehicle",1435.44
"QUEENS","2014",2018,"Civil Rights",4000
"** Borough Missing **","2011",2018,"Police Action",1500000
"STATEN ISLAND (RICHMOND)","2014",2018,"Civil Rights",105000
"QUEENS","2010",2018,"Police Action",25000
"BROOKLYN (KINGS)","2014",2018,"Civil Rights",45000
"STATEN ISLAND (RICHMOND)","2013",2018,"Civil Rights",90000
"BROOKLYN (KINGS)","2017",2018,"Police Action",60000
"BRONX","2015",2018,"Police Action",50000
"BROOKLYN (KINGS)","2011",2018,"Civil Rights",1500000
"BRONX","2011",2018,"Police Action",2500
"BRONX","2014",2018,"Motor Vehicle",60000
"BROOKLYN (KINGS)","2012",2018,"Police Action",60000
"BRONX","2011",2018,"Motor Vehicle",87500
"BRONX","2013",2018,"Police Action",10000
"MANHATTAN (NEW YORK)","2011",2018,"Motor Vehicle",110000
"BROOKLYN (KINGS)","2015",2018,"Civil Rights",32500
"** Borough Missing **","2010",2018,"Civil Rights",75000
"MANHATTAN (NEW YORK)","2017",2018,"Civil Rights",18000
"QUEENS","2015",2018,"Police Action",1500
"BRONX","2014",2018,"Police Action",22500
"QUEENS","2017",2018,"Motor Vehicle",1996.56
"STATEN ISLAND (RICHMOND)","2014",2018,"Civil Rights",140000
"STATEN ISLAND (RICHMOND)","2014",2018,"Civil Rights",95000
"STATEN ISLAND (RICHMOND)","2017",2018,"Police Action",18500
"BRONX","2005",2018,"Police Action",35000
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",2847.7
"BROOKLYN (KINGS)","2017",2018,"Motor Vehicle",888.84
"BROOKLYN (KINGS)","2016",2018,"Motor Vehicle",22500
"BROOKLYN (KINGS)","2007",2018,"Police Action",225000
"** Borough Missing **","2009",2018,"Police Action",1e+05
"BROOKLYN (KINGS)","2007",2018,"Police Action",75000
"STATEN ISLAND (RICHMOND)","2012",2018,"Police Action",30000
"BROOKLYN (KINGS)","2016",2018,"Civil Rights",5000
"BRONX","2012",2018,"Police Action",9000
"QUEENS","2017",2018,"Motor Vehicle",1941.88
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",248
"QUEENS","2017",2018,"Motor Vehicle",8820.84
"BRONX","2016",2018,"Civil Rights",5000
"MANHATTAN (NEW YORK)","2016",2018,"Civil Rights",7500
"BROOKLYN (KINGS)","2013",2018,"Civil Rights",1000
"BRONX","2016",2018,"Civil Rights",17500
"BRONX","2016",2018,"Civil Rights",8000
"MANHATTAN (NEW YORK)","2016",2018,"Civil Rights",15000
"MANHATTAN (NEW YORK)","2016",2018,"Civil Rights",12500
"MANHATTAN (NEW YORK)","2016",2018,"Civil Rights",7500
"BRONX","2016",2018,"Civil Rights",8000
"BRONX","2017",2018,"Civil Rights",8001
"MANHATTAN (NEW YORK)","2017",2018,"Civil Rights",10001
"** Borough Missing **","2013",2018,"Police Action",75000
"MANHATTAN (NEW YORK)","2017",2018,"Police Action",50000
"BRONX","2013",2018,"Police Action",90000
"QUEENS","2012",2018,"Police Action",40000
"BRONX","2017",2018,"Police Action",35000
"BRONX","2016",2018,"Police Action",20000
"BRONX","2017",2018,"Police Action",30000
"BRONX","2016",2018,"Police Action",12500
"** Borough Missing **","2016",2018,"Police Action",23000
"BRONX","2016",2018,"Police Action",24000
"BRONX","2016",2018,"Police Action",35000
"QUEENS","2012",2018,"Police Action",25000
"BRONX","2017",2018,"Police Action",20000
"BROOKLYN (KINGS)","2017",2018,"Police Action",125000
"BRONX","2017",2018,"Police Action",90000
"BRONX","2017",2018,"Police Action",90000
"BRONX","2017",2018,"Police Action",20000
"BRONX","2017",2018,"Police Action",10000
"BRONX","2017",2018,"Police Action",25000
"BRONX","2017",2018,"Police Action",105000
"BRONX","2017",2018,"Police Action",50000
"BRONX","2016",2018,"Police Action",15000
"** Borough Missing **","2013",2018,"Police Action",5000
"BROOKLYN (KINGS)","2017",2018,"Motor Vehicle",2067.18
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",2736.86
"BROOKLYN (KINGS)","2017",2018,"Motor Vehicle",1195
"BROOKLYN (KINGS)","2017",2018,"Motor Vehicle",2692.38
"BROOKLYN (KINGS)","2014",2018,"City Personnel",1692
"BROOKLYN (KINGS)","2013",2018,"Police Action",4050
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",725
"MANHATTAN (NEW YORK)","2017",2018,"Motor Vehicle",1550
"BRONX","2016",2018,"Police Action",2500
"BRONX","2017",2018,"Police Action",15000
"MANHATTAN (NEW YORK)","2015",2018,"Police Action",75000
"MANHATTAN (NEW YORK)","2016",2018,"Motor Vehicle",6000
"STATEN ISLAND (RICHMOND)","2017",2018,"Police Action",75000
"STATEN ISLAND (RICHMOND)","2017",2018,"Police Action",90000
"BROOKLYN (KINGS)","2017",2018,"Police Action",12500
"STATEN ISLAND (RICHMOND)","2017",2018,"Police Action",115000
"BROOKLYN (KINGS)","2016",2018,"Police Action",25000
"STATEN ISLAND (RICHMOND)","2017",2018,"Police Action",15000
"BROOKLYN (KINGS)","2015",2018,"Civil Rights",51500
"STATEN ISLAND (RICHMOND)","2017",2018,"Police Action",9000
"BRONX","2012",2018,"Police Action",30000
