"launch_speed","launch_angle","event"
93.5,1,"Out"
100,6,"Hit - Not Home Run"
102.5,18,"Out"
96.1,44,"Out"
94.7,18,"Hit - Not Home Run"
88,-34,"Out"
77.7,-3,"Out"
106.1,39,"Home Run"
71.5,-32,"Out"
105.5,11,"Hit - Not Home Run"
97.5,15,"Hit - Not Home Run"
96.2,40,"Out"
91.8,34,"Out"
99.8,4,"Hit - Not Home Run"
82.9,-21,"Out"
97.5,37,"Out"
69.2,7,"Hit - Not Home Run"
102.9,23,"Out"
91.1,12,"Hit - Not Home Run"
82.9,-21,"Out"
91.4,6,"Out"
96.9,-13,"Out"
77.7,27,"Hit - Not Home Run"
91.2,9,"Hit - Not Home Run"
108.4,15,"Out"
80.4,-14,"Out"
84,48,"Out"
100,27,"Home Run"
91.1,27,"Out"
82.9,-21,"Out"
73.4,-5,"Out"
87.8,31,"Out"
66.6,-59,"Hit - Not Home Run"
97.2,-12,"Out"
103.7,25,"Home Run"
98.8,22,"Hit - Not Home Run"
66.4,27,"Hit - Not Home Run"
100.1,24,"Hit - Not Home Run"
86.7,27,"Out"
76.8,19,"Hit - Not Home Run"
84.1,37,"Out"
105.7,-15,"Hit - Not Home Run"
93,-5,"Out"
102.3,-1,"Out"
67.7,47,"Out"
77.8,21,"Hit - Not Home Run"
69.6,57,"Out"
83.7,16,"Hit - Not Home Run"
99,33,"Out"
100,-11,"Out"
85.3,5,"Hit - Not Home Run"
107.5,16,"Hit - Not Home Run"
99.5,-27,"Hit - Not Home Run"
110.2,10,"Hit - Not Home Run"
79.5,9,"Out"
79.8,42,"Out"
69.9,14,"Out"
85.9,61,"Out"
74.4,18,"Hit - Not Home Run"
67.5,42,"Out"
76.6,3,"Out"
93.8,29,"Out"
105.7,-6,"Hit - Not Home Run"
92,24,"Out"
93.4,-6,"Out"
107,-10,"Hit - Not Home Run"
88.7,44,"Out"
95.7,18,"Out"
71.7,36,"Out"
92.4,-15,"Out"
93.4,4,"Hit - Not Home Run"
97.1,-11,"Out"
97.9,34,"Out"
89.4,15,"Out"
101.8,-6,"Out"
90.9,19,"Hit - Not Home Run"
79.7,-1,"Out"
88.5,24,"Hit - Not Home Run"
101.5,53,"Out"
85.1,-25,"Out"
73.2,34,"Out"
89,16,"Hit - Not Home Run"
103.3,38,"Out"
101.2,20,"Hit - Not Home Run"
106,14,"Hit - Not Home Run"
94.8,35,"Out"
80,69,"Out"
59.8,7,"Out"
52.5,10,"Out"
98.4,-8,"Out"
102.6,6,"Out"
84.2,34,"Out"
99.3,12,"Hit - Not Home Run"
73.8,-46,"Out"
86.5,22,"Out"
96.5,22,"Hit - Not Home Run"
71.4,36,"Hit - Not Home Run"
80.4,-37,"Out"
95.1,22,"Out"
80,69,"Out"
104.1,3,"Out"
83.7,-35,"Out"
78.4,38,"Out"
80,69,"Out"
81.6,-3,"Out"
82.7,37,"Out"
96.8,0,"Out"
88.9,-23,"Out"
94.7,38,"Out"
100.8,-21,"Out"
91.2,24,"Out"
83.3,-13,"Out"
106.4,2,"Out"
105.6,9,"Hit - Not Home Run"
75.7,-5,"Out"
87.1,-2,"Out"
82.9,-21,"Out"
99.1,6,"Hit - Not Home Run"
105.1,-13,"Out"
97.1,30,"Out"
92.8,33,"Out"
77,46,"Out"
103.3,22,"Out"
98.6,31,"Out"
98,30,"Out"
104.3,4,"Out"
76.5,17,"Hit - Not Home Run"
107,17,"Hit - Not Home Run"
88.2,49,"Out"
70.4,-18,"Out"
94.8,30,"Out"
104.7,20,"Home Run"
93.2,1,"Out"
96.8,34,"Out"
96.3,11,"Hit - Not Home Run"
92.4,29,"Out"
100.8,21,"Home Run"
95.8,16,"Hit - Not Home Run"
53.8,40,"Out"
82.9,-21,"Out"
96.3,16,"Hit - Not Home Run"
83.3,58,"Out"
77.2,19,"Hit - Not Home Run"
82.9,-21,"Out"
80.8,2,"Out"
